time,device_id,lat,lon,altitude_m,battery_voltage,solar_voltage,ambient_lux,uv_index
2026-05-17T17:54:18.248301+00:00,stratolink-3,36.9229548,-121.8027966,6097,5.386,4.906,8738,3
2026-05-17T17:59:20.272755+00:00,stratolink-3,36.8456955,-121.7529385,6315,5.362,5.076,8738,1
2026-05-17T18:04:21.349926+00:00,stratolink-3,36.7681831,-121.6974251,6551,5.37,5.074,8738,1
2026-05-17T18:09:55.067969+00:00,stratolink-3,,,,5.372,5.082,8738,2
2026-05-17T18:15:03.296891+00:00,stratolink-3,36.6960622,-121.638681,6699,5.36,4.992,8738,2
2026-05-17T18:20:04.712632+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.364,5.046,8738,3
2026-05-17T18:25:12.831742+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.362,5.046,8738,1
2026-05-17T18:30:20.866336+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.366,5.038,8738,2
2026-05-17T18:35:28.87454+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.38,4.962,8738,1
2026-05-17T18:40:36.873607+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,4.974,8738,1
2026-05-17T18:45:44.987777+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.374,4.998,8738,0
2026-05-17T18:50:53.13935+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.366,4.942,8738,1
2026-05-17T18:56:01.507157+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.38,4.974,8738,1
2026-05-17T19:01:10.000016+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.38,4.95,8738,1
2026-05-17T19:06:18.388474+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.366,5.052,8738,1
2026-05-17T19:11:26.393134+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.364,4.96,8738,1
2026-05-17T19:16:34.605414+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.378,4.99,8738,1
2026-05-17T19:21:43.035391+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.36,4.95,8738,1
2026-05-17T19:26:52.269777+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,4.972,8738,2
2026-05-17T19:32:00.320987+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.386,4.894,8738,3
2026-05-17T19:37:08.748533+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,4.992,8738,2
2026-05-17T19:42:17.095183+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.374,4.948,8738,2
2026-05-17T19:47:26.075543+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.38,4.844,8738,2
2026-05-17T19:52:35.580751+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.36,4.956,8738,2
2026-05-17T19:57:43.862984+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.364,5.018,8738,1
2026-05-17T20:02:52.521911+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.366,4.984,8738,2
2026-05-17T20:08:01.039572+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.36,4.948,8738,1
2026-05-17T20:13:09.654294+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.38,4.96,8738,2
2026-05-17T20:18:18.262429+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.36,4.96,8738,1
2026-05-17T20:23:26.802537+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.388,4.908,8738,1
2026-05-17T20:28:35.829349+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.374,4.896,8738,1
2026-05-17T20:33:44.700921+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.362,4.986,8738,1
2026-05-17T20:38:53.880352+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,4.95,8738,1
2026-05-17T20:44:02.655571+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.362,5.026,8738,2
2026-05-17T20:49:11.130426+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,5.026,8738,2
2026-05-17T20:54:19.952306+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.36,4.896,8738,1
2026-05-17T20:59:28.253829+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.364,5,8738,1
2026-05-17T21:04:36.472483+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.364,5.104,8738,4
2026-05-17T21:09:44.467554+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,5.008,8738,1
2026-05-17T21:14:52.612448+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,5.076,8738,1
2026-05-17T21:20:00.764822+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.362,4.98,8738,2
2026-05-17T21:25:08.807886+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.366,5.012,8738,1
2026-05-17T21:30:17.007547+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.36,4.986,8738,1
2026-05-17T21:35:25.510978+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.364,5.13,8738,2
2026-05-17T21:38:52.599679+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,5.04,8738,1
2026-05-17T21:44:00.162309+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,5.076,8738,2
2026-05-17T21:49:08.37315+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,5.026,8738,0
2026-05-17T21:51:22.895569+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.386,5.052,8738,6
2026-05-17T21:55:24.008252+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,5.076,8738,2
2026-05-17T22:00:31.966891+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.38,5.146,8738,2
2026-05-17T22:05:39.980187+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.388,5.154,8738,3
2026-05-17T22:10:48.180366+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.374,4.974,8738,4
2026-05-17T22:15:56.208859+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.372,4.832,8738,1
2026-05-17T22:21:04.183698+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.374,5.038,8738,1
2026-05-17T22:26:12.293307+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.38,4.846,8738,3
2026-05-17T22:31:20.238227+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.366,5.142,8738,2
2026-05-17T22:36:28.2907+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.374,5.154,8738,3
2026-05-17T22:41:36.54677+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.38,5.056,8738,2
2026-05-17T22:46:44.700502+00:00,stratolink-3,36.6159551,-121.5718565,6924,5.38,5.038,8738,0
2026-05-17T22:56:52.518379+00:00,stratolink-3,33.5444616,-119.0023054,9744,5.36,4.998,8738,3
2026-05-17T23:22:32.790467+00:00,stratolink-3,33.5444616,-119.0023054,9744,5.374,4.534,8738,1
2026-05-17T23:37:56.547067+00:00,stratolink-3,33.5444616,-119.0023054,9744,5.296,4.202,8738,1
2026-05-18T00:08:45.527149+00:00,stratolink-3,33.5444616,-119.0023054,9744,5.362,5.156,8738,3
2026-05-18T00:29:11.830424+00:00,stratolink-3,32.8720291,-118.3905433,9621,5.37,4.716,8738,1
2026-05-18T00:34:19.784495+00:00,stratolink-3,32.8720291,-118.3905433,9621,5.284,4.202,8738,1
2026-05-18T00:44:36.525583+00:00,stratolink-3,32.8720291,-118.3905433,9621,5.366,5.122,8738,4
