gateway_id,receptions,uplinks_heard,region,rssi_med,rssi_best,snr_med,snr_best,has_coords,gw_lat,gw_lon,gc_max_km,lat,lon,id,final_lat,final_lon
cicytex-icmc-002,44,44,EU,-111.0,-109.0,-6.15,-1.8,0,,,,38.92295,-6.39434,cicytex-icmc-002,38.92295,-6.39434
mtcdtip02-l4e1-3,41,41,EU,-107.0,-101.0,-0.2,5.0,0,,,,,,,,
sg50-perte-malpica-01,41,41,EU,-116.0,-115.0,-7.0,-2.0,0,,,,,,,,
sg50-perte-malpica-06,39,39,EU,-114.0,-111.0,-6.2,-0.5,0,,,,,,,,
sg50-perte-malpica-02,39,39,EU,-112.0,-108.0,-5.8,-0.5,1,39.94336757279527,-4.661850929260255,167.97978027441147,39.94336757279527,-4.661850929260255,sg50-perte-malpica-02,39.94336757279527,-4.661850929260255
antena-granjas-rendondo-01,38,38,EU,-123.5,-113.0,-3.75,6.0,0,,,,,,,,
ext-sg50-011,36,36,EU,-119.0,-118.0,-7.5,-4.8,0,,,,,,,,
cdtic-multitech-5,36,36,EU,-114.5,-99.0,-2.0,5.2,1,40.0702558044694,-6.65818959474564,126.29498961658342,40.0702558044694,-6.65818959474564,cdtic-multitech-5,40.0702558044694,-6.65818959474564
sg50-perte-malpica-03,35,35,EU,-119.0,-117.0,-5.0,1.0,0,,,,,,,,
d401c3ffff6d00a4,34,34,EU,-114.0,-108.0,-3.0,1.75,0,,,,,,,,
italr0001,34,34,EU,-115.0,-109.0,-4.75,-1.5,1,41.70253250763931,-4.708266556262971,187.27657100298967,41.70253250763931,-4.708266556262971,italr0001,41.70253250763931,-4.708266556262971
jfmateos-rak7250-rioseco,33,33,EU,-112.0,-110.0,-4.25,3.75,1,39.9775352459947,-6.04510360141884,91.5297972820783,39.9775352459947,-6.04510360141884,jfmateos-rak7250-rioseco,39.9775352459947,-6.04510360141884
rio-tormes-1b,29,29,EU,-116.0,-106.0,-3.25,3.5,1,40.968865323719,-5.64232170581818,76.39753112398147,40.968865323719,-5.64232170581818,rio-tormes-1b,40.968865323719,-5.64232170581818
lora-more,28,28,EU,-113.0,-111.0,-6.5,-3.0,1,41.81858911263017,-6.7508557295156235,185.99648253273827,41.81858911263017,-6.7508557295156235,lora-more,41.81858911263017,-6.7508557295156235
mtcdtip02-l4e1-1,28,28,EU,-110.0,-108.0,-5.8,-2.2,0,,,,,,,,
cdtic-multitech-6,28,28,EU,-115.0,-105.0,-3.4,3.2,1,40.1338,-5.94651,72.86597304817914,40.1338,-5.94651,cdtic-multitech-6,40.1338,-5.94651
tidop-solar-milesight-001,27,27,EU,-114.0,-107.0,2.9,8.0,1,40.6508109351282,-4.73721027374268,53.123413710850265,40.6508109351282,-4.73721027374268,tidop-solar-milesight-001,40.6508109351282,-4.73721027374268
mtcdtip02-l4e1-16,25,25,EU,-113.0,-109.0,-6.0,-3.0,0,,,,,,,,
cicytex-unex-1,25,25,EU,-116.0,-114.0,-5.65,-0.8,0,,,,38.97259,-5.73836,cicytex-unex-1,38.97259,-5.73836
dlps8-103,25,25,EU,-113.0,-112.0,-6.5,-3.8,0,,,,,,,,
ext-sg50-012,22,22,EU,-115.0,-108.0,-3.0,4.8,0,,,,,,,,
